Identifier,Taxa1,Taxa2,Taxa3
SMGC_6249,Virus,Unassigned,Unassigned
SMGC_6250,Virus,Papillomaviridae,Papillomaviridae
SMGC_6254,Virus,Siphoviridae,Siphoviridae
SMGC_6257,Virus,Siphoviridae,Siphoviridae
SMGC_6256,Virus,Siphoviridae,Siphoviridae
SMGC_6255,Virus,Siphoviridae,Siphoviridae
SMGC_6253,Virus,Siphoviridae,Siphoviridae
SMGC_6251,Virus,Other,Other
SMGC_6252,Virus,Other,Other
SMGC_6259,Virus,Siphoviridae,Siphoviridae
SMGC_6260,Virus,Siphoviridae,Siphoviridae
SMGC_6258,Virus,Siphoviridae,Siphoviridae
SMGC_6263,Virus,Siphoviridae,Siphoviridae
SMGC_6261,Virus,Siphoviridae,Siphoviridae
SMGC_6264,Virus,Siphoviridae,Siphoviridae
SMGC_6262,Virus,Myoviridae,Myoviridae
SMGC_6267,Virus,Siphoviridae,Siphoviridae
SMGC_6269,Virus,Siphoviridae,Siphoviridae
SMGC_6266,Virus,Other,Other
SMGC_6268,Virus,Siphoviridae,Siphoviridae
SMGC_6265,Virus,Siphoviridae,Siphoviridae
SMGC_6273,Virus,Siphoviridae,Siphoviridae
SMGC_6270,Virus,Myoviridae,Myoviridae
SMGC_6271,Virus,Myoviridae,Myoviridae
SMGC_6272,Virus,Podoviridae,Podoviridae
SMGC_6274,Virus,Other,Other
SMGC_6275,Virus,Siphoviridae,Siphoviridae
SMGC_6276,Virus,Myoviridae,Myoviridae
SMGC_6282,Virus,Siphoviridae,Siphoviridae
SMGC_6277,Virus,Siphoviridae,Siphoviridae
SMGC_6283,Virus,Myoviridae,Myoviridae
SMGC_6278,Virus,Siphoviridae,Siphoviridae
SMGC_6284,Virus,Siphoviridae,Siphoviridae
SMGC_6280,Virus,Siphoviridae,Siphoviridae
SMGC_6279,Virus,Siphoviridae,Siphoviridae
SMGC_6281,Virus,Unassigned,Unassigned
SMGC_6292,Virus,Myoviridae,Myoviridae
SMGC_6287,Virus,Unassigned,Unassigned
SMGC_6286,Virus,Myoviridae,Myoviridae
SMGC_6291,Virus,Myoviridae,Myoviridae
SMGC_6289,Virus,Unassigned,Unassigned
SMGC_6288,Virus,Other,Other
SMGC_6290,Virus,Other,Other
SMGC_6285,Virus,Other,Other
SMGC_6297,Virus,Siphoviridae,Siphoviridae
SMGC_6293,Virus,Phycodnaviridae,Phycodnaviridae
SMGC_6294,Virus,Myoviridae,Myoviridae
SMGC_6295,Virus,Siphoviridae,Siphoviridae
SMGC_6296,Virus,Siphoviridae,Siphoviridae
SMGC_6298,Virus,Siphoviridae,Siphoviridae
SMGC_6303,Virus,Siphoviridae,Siphoviridae
SMGC_6305,Virus,Siphoviridae,Siphoviridae
SMGC_6302,Virus,Siphoviridae,Siphoviridae
SMGC_6304,Virus,Siphoviridae,Siphoviridae
SMGC_6301,Virus,Siphoviridae,Siphoviridae
SMGC_6299,Virus,Siphoviridae,Siphoviridae
SMGC_6300,Virus,Siphoviridae,Siphoviridae
SMGC_6306,Virus,Siphoviridae,Siphoviridae
SMGC_6309,Virus,Siphoviridae,Siphoviridae
SMGC_6310,Virus,Siphoviridae,Siphoviridae
SMGC_6311,Virus,Siphoviridae,Siphoviridae
SMGC_6308,Virus,Other,Other
SMGC_6312,Virus,Siphoviridae,Siphoviridae
SMGC_6307,Virus,Siphoviridae,Siphoviridae
SMGC_6313,Virus,Other,Other
SMGC_6314,Virus,Siphoviridae,Siphoviridae
SMGC_6315,Virus,Siphoviridae,Siphoviridae
SMGC_6317,Virus,Siphoviridae,Siphoviridae
SMGC_6316,Virus,Myoviridae,Myoviridae
SMGC_6318,Virus,Siphoviridae,Siphoviridae
SMGC_6319,Virus,Siphoviridae,Siphoviridae
SMGC_6320,Virus,Myoviridae,Myoviridae
SMGC_6321,Virus,Other,Other
SMGC_6322,Virus,Myoviridae,Myoviridae
SMGC_6324,Virus,Unassigned,Unassigned
SMGC_6323,Virus,Other,Other
SMGC_6327,Virus,Siphoviridae,Siphoviridae
SMGC_6326,Virus,Siphoviridae,Siphoviridae
SMGC_6325,Virus,Siphoviridae,Siphoviridae
SMGC_6328,Virus,Siphoviridae,Siphoviridae
SMGC_6329,Virus,Myoviridae,Myoviridae
SMGC_6332,Virus,Siphoviridae,Siphoviridae
SMGC_6331,Virus,Siphoviridae,Siphoviridae
SMGC_6330,Virus,Siphoviridae,Siphoviridae
SMGC_6333,Virus,Siphoviridae,Siphoviridae
SMGC_6335,Virus,Siphoviridae,Siphoviridae
SMGC_6334,Virus,Siphoviridae,Siphoviridae
SMGC_6336,Virus,Siphoviridae,Siphoviridae
SMGC_6337,Virus,Siphoviridae,Siphoviridae
SMGC_6338,Virus,Siphoviridae,Siphoviridae
SMGC_6339,Virus,Other,Other
SMGC_6343,Virus,Siphoviridae,Siphoviridae
SMGC_6341,Virus,Siphoviridae,Siphoviridae
SMGC_6340,Virus,Siphoviridae,Siphoviridae
SMGC_6342,Virus,Myoviridae,Myoviridae
SMGC_6344,Virus,Siphoviridae,Siphoviridae
SMGC_6345,Virus,Siphoviridae,Siphoviridae
SMGC_6346,Virus,Siphoviridae,Siphoviridae
SMGC_6350,Virus,Podoviridae,Podoviridae
SMGC_6347,Virus,Unassigned,Unassigned
SMGC_6348,Virus,Unassigned,Unassigned
SMGC_6351,Virus,Siphoviridae,Siphoviridae
SMGC_6352,Virus,Siphoviridae,Siphoviridae
SMGC_6349,Virus,Myoviridae,Myoviridae
SMGC_6354,Virus,Siphoviridae,Siphoviridae
SMGC_6358,Virus,Siphoviridae,Siphoviridae
SMGC_6353,Virus,Other,Other
SMGC_6357,Virus,Siphoviridae,Siphoviridae
SMGC_6356,Virus,Siphoviridae,Siphoviridae
SMGC_6355,Virus,Siphoviridae,Siphoviridae
SMGC_6359,Virus,Siphoviridae,Siphoviridae
SMGC_6360,Virus,Other,Other
SMGC_6363,Virus,Siphoviridae,Siphoviridae
SMGC_6366,Virus,Siphoviridae,Siphoviridae
SMGC_6364,Virus,Siphoviridae,Siphoviridae
SMGC_6361,Virus,Siphoviridae,Siphoviridae
SMGC_6373,Virus,Siphoviridae,Siphoviridae
SMGC_6362,Virus,Siphoviridae,Siphoviridae
SMGC_6369,Virus,Siphoviridae,Siphoviridae
SMGC_6374,Virus,Siphoviridae,Siphoviridae
SMGC_6376,Virus,Siphoviridae,Siphoviridae
SMGC_6372,Virus,Siphoviridae,Siphoviridae
SMGC_6368,Virus,Siphoviridae,Siphoviridae
SMGC_6375,Virus,Siphoviridae,Siphoviridae
SMGC_6367,Virus,Siphoviridae,Siphoviridae
SMGC_6365,Virus,Myoviridae,Myoviridae
SMGC_6377,Virus,Siphoviridae,Siphoviridae
SMGC_6370,Virus,Siphoviridae,Siphoviridae
SMGC_6381,Virus,Siphoviridae,Siphoviridae
SMGC_6380,Virus,Siphoviridae,Siphoviridae
SMGC_6379,Virus,Other,Other
SMGC_6382,Virus,Siphoviridae,Siphoviridae
SMGC_6371,Virus,Myoviridae,Myoviridae
SMGC_6378,Virus,Myoviridae,Myoviridae
SMGC_6386,Virus,Siphoviridae,Siphoviridae
SMGC_6385,Virus,Siphoviridae,Siphoviridae
SMGC_6388,Virus,Myoviridae,Myoviridae
SMGC_6389,Virus,Other,Other
SMGC_6383,Virus,Siphoviridae,Siphoviridae
SMGC_6384,Virus,Myoviridae,Myoviridae
SMGC_6387,Virus,Siphoviridae,Siphoviridae
SMGC_6390,Virus,Siphoviridae,Siphoviridae
SMGC_6394,Virus,Siphoviridae,Siphoviridae
SMGC_6391,Virus,Siphoviridae,Siphoviridae
SMGC_6393,Virus,Siphoviridae,Siphoviridae
SMGC_6392,Virus,Siphoviridae,Siphoviridae
SMGC_6397,Virus,Siphoviridae,Siphoviridae
SMGC_6395,Virus,Myoviridae,Myoviridae
SMGC_6396,Virus,Siphoviridae,Siphoviridae
SMGC_6398,Virus,Siphoviridae,Siphoviridae
SMGC_6399,Virus,Siphoviridae,Siphoviridae
SMGC_6400,Virus,Siphoviridae,Siphoviridae
SMGC_6401,Virus,Siphoviridae,Siphoviridae
SMGC_6403,Virus,Siphoviridae,Siphoviridae
SMGC_6402,Virus,Siphoviridae,Siphoviridae
SMGC_6404,Virus,Siphoviridae,Siphoviridae
SMGC_6405,Virus,Siphoviridae,Siphoviridae
SMGC_6406,Virus,Inoviridae,Inoviridae
SMGC_6407,Virus,Siphoviridae,Siphoviridae
SMGC_6408,Virus,Siphoviridae,Siphoviridae
SMGC_6409,Virus,Siphoviridae,Siphoviridae
SMGC_6411,Virus,Siphoviridae,Siphoviridae
SMGC_6410,Virus,Siphoviridae,Siphoviridae
SMGC_6412,Virus,Siphoviridae,Siphoviridae
SMGC_6413,Virus,Myoviridae,Myoviridae
SMGC_6415,Virus,Siphoviridae,Siphoviridae
SMGC_6414,Virus,Siphoviridae,Siphoviridae
SMGC_6416,Virus,Siphoviridae,Siphoviridae
SMGC_6418,Virus,Siphoviridae,Siphoviridae
SMGC_6417,Virus,Siphoviridae,Siphoviridae
SMGC_6419,Virus,Siphoviridae,Siphoviridae
SMGC_6422,Virus,Siphoviridae,Siphoviridae
SMGC_6423,Virus,Siphoviridae,Siphoviridae
SMGC_6420,Virus,Siphoviridae,Siphoviridae
SMGC_6421,Virus,Siphoviridae,Siphoviridae
SMGC_6424,Virus,Siphoviridae,Siphoviridae
SMGC_6429,Virus,Siphoviridae,Siphoviridae
SMGC_6428,Virus,Siphoviridae,Siphoviridae
SMGC_6427,Virus,Siphoviridae,Siphoviridae
SMGC_6425,Virus,Siphoviridae,Siphoviridae
SMGC_6431,Virus,Other,Other
SMGC_6426,Virus,Siphoviridae,Siphoviridae
SMGC_6430,Virus,Siphoviridae,Siphoviridae
SMGC_6432,Virus,Siphoviridae,Siphoviridae
SMGC_6433,Virus,Podoviridae,Podoviridae
SMGC_6434,Virus,Other,Other
SMGC_6435,Virus,Siphoviridae,Siphoviridae
SMGC_6436,Virus,Siphoviridae,Siphoviridae
SMGC_6437,Virus,Siphoviridae,Siphoviridae
SMGC_6438,Virus,Myoviridae,Myoviridae
SMGC_6439,Virus,Siphoviridae,Siphoviridae
SMGC_6440,Virus,Siphoviridae,Siphoviridae
SMGC_6441,Virus,Other,Other
SMGC_6442,Virus,Siphoviridae,Siphoviridae
SMGC_6451,Virus,Siphoviridae,Siphoviridae
SMGC_6448,Virus,Siphoviridae,Siphoviridae
SMGC_6444,Virus,Myoviridae,Myoviridae
SMGC_6445,Virus,Myoviridae,Myoviridae
SMGC_6449,Virus,Podoviridae,Podoviridae
SMGC_6447,Virus,Siphoviridae,Siphoviridae
SMGC_6443,Virus,Podoviridae,Podoviridae
SMGC_6446,Virus,Myoviridae,Myoviridae
SMGC_6452,Virus,Other,Other
SMGC_6450,Virus,Podoviridae,Podoviridae
SMGC_6453,Virus,Podoviridae,Podoviridae
SMGC_6454,Virus,Siphoviridae,Siphoviridae
SMGC_6455,Virus,Podoviridae,Podoviridae
SMGC_6456,Virus,Siphoviridae,Siphoviridae
SMGC_6458,Virus,Siphoviridae,Siphoviridae
SMGC_6457,Virus,Other,Other
SMGC_6459,Virus,Unassigned,Unassigned
SMGC_6460,Virus,Other,Other
SMGC_6461,Virus,Other,Other
SMGC_6467,Virus,Podoviridae,Podoviridae
SMGC_6481,Virus,Myoviridae,Myoviridae
SMGC_6482,Virus,Myoviridae,Myoviridae
SMGC_6475,Virus,Siphoviridae,Siphoviridae
SMGC_6466,Virus,Myoviridae,Myoviridae
SMGC_6469,Virus,Siphoviridae,Siphoviridae
SMGC_6470,Virus,Myoviridae,Myoviridae
SMGC_6463,Virus,Siphoviridae,Siphoviridae
SMGC_6462,Virus,Myoviridae,Myoviridae
SMGC_6480,Virus,Myoviridae,Myoviridae
SMGC_6476,Virus,Siphoviridae,Siphoviridae
SMGC_6465,Virus,Siphoviridae,Siphoviridae
SMGC_6464,Virus,Myoviridae,Myoviridae
SMGC_6471,Virus,Siphoviridae,Siphoviridae
SMGC_6473,Virus,Myoviridae,Myoviridae
SMGC_6483,Virus,Siphoviridae,Siphoviridae
SMGC_6479,Virus,Siphoviridae,Siphoviridae
SMGC_6477,Virus,Unassigned,Unassigned
SMGC_6472,Virus,Siphoviridae,Siphoviridae
SMGC_6478,Virus,Siphoviridae,Siphoviridae
SMGC_6474,Virus,Baculoviridae,Baculoviridae
SMGC_6468,Virus,Myoviridae,Myoviridae
SMGC_6484,Virus,Siphoviridae,Siphoviridae
SMGC_6486,Virus,Siphoviridae,Siphoviridae
SMGC_6485,Virus,Other,Other
SMGC_6487,Virus,Siphoviridae,Siphoviridae
SMGC_6489,Virus,Other,Other
SMGC_6488,Virus,Siphoviridae,Siphoviridae
SMGC_6490,Virus,Siphoviridae,Siphoviridae
SMGC_6493,Virus,Siphoviridae,Siphoviridae
SMGC_6492,Virus,Siphoviridae,Siphoviridae
SMGC_6494,Virus,Siphoviridae,Siphoviridae
SMGC_6491,Virus,Other,Other
SMGC_6496,Virus,Siphoviridae,Siphoviridae
SMGC_6495,Virus,Siphoviridae,Siphoviridae
SMGC_6500,Virus,Siphoviridae,Siphoviridae
SMGC_6501,Virus,Siphoviridae,Siphoviridae
SMGC_6502,Virus,Other,Other
SMGC_6503,Virus,Siphoviridae,Siphoviridae
SMGC_6504,Virus,Other,Other
SMGC_6499,Virus,Siphoviridae,Siphoviridae
SMGC_6498,Virus,Other,Other
SMGC_6497,Virus,Siphoviridae,Siphoviridae
SMGC_6505,Virus,Siphoviridae,Siphoviridae
SMGC_6506,Virus,Unassigned,Unassigned
SMGC_6511,Virus,Siphoviridae,Siphoviridae
SMGC_6510,Virus,Siphoviridae,Siphoviridae
SMGC_6513,Virus,Siphoviridae,Siphoviridae
SMGC_6508,Virus,Siphoviridae,Siphoviridae
SMGC_6507,Virus,Siphoviridae,Siphoviridae
SMGC_6512,Virus,Siphoviridae,Siphoviridae
SMGC_6514,Virus,Unassigned,Unassigned
SMGC_6509,Virus,Other,Other
SMGC_6515,Virus,Siphoviridae,Siphoviridae
SMGC_6517,Virus,Other,Other
SMGC_6516,Virus,Myoviridae,Myoviridae
SMGC_6523,Virus,Podoviridae,Podoviridae
SMGC_6524,Virus,Myoviridae,Myoviridae
SMGC_6520,Virus,Siphoviridae,Siphoviridae
SMGC_6519,Virus,Myoviridae,Myoviridae
SMGC_6522,Virus,Siphoviridae,Siphoviridae
SMGC_6518,Virus,Siphoviridae,Siphoviridae
SMGC_6521,Virus,Siphoviridae,Siphoviridae
SMGC_6527,Virus,Podoviridae,Podoviridae
SMGC_6528,Virus,Siphoviridae,Siphoviridae
SMGC_6526,Virus,Podoviridae,Podoviridae
SMGC_6525,Virus,Unassigned,Unassigned
SMGC_6529,Virus,Siphoviridae,Siphoviridae
SMGC_6530,Virus,Siphoviridae,Siphoviridae
SMGC_6531,Virus,Siphoviridae,Siphoviridae
SMGC_6533,Virus,Siphoviridae,Siphoviridae
SMGC_6532,Virus,Siphoviridae,Siphoviridae
SMGC_6537,Virus,Siphoviridae,Siphoviridae
SMGC_6541,Virus,Myoviridae,Myoviridae
SMGC_6547,Virus,Siphoviridae,Siphoviridae
SMGC_6546,Virus,Siphoviridae,Siphoviridae
SMGC_6551,Virus,Siphoviridae,Siphoviridae
SMGC_6553,Virus,Siphoviridae,Siphoviridae
SMGC_6550,Virus,Siphoviridae,Siphoviridae
SMGC_6549,Virus,Siphoviridae,Siphoviridae
SMGC_6542,Virus,Siphoviridae,Siphoviridae
SMGC_6552,Virus,Myoviridae,Myoviridae
SMGC_6548,Virus,Siphoviridae,Siphoviridae
SMGC_6544,Virus,Siphoviridae,Siphoviridae
SMGC_6536,Virus,Siphoviridae,Siphoviridae
SMGC_6545,Virus,Siphoviridae,Siphoviridae
SMGC_6535,Virus,Siphoviridae,Siphoviridae
SMGC_6534,Virus,Podoviridae,Podoviridae
SMGC_6540,Virus,Podoviridae,Podoviridae
SMGC_6539,Virus,Other,Other
SMGC_6538,Virus,Siphoviridae,Siphoviridae
SMGC_6543,Virus,Siphoviridae,Siphoviridae
SMGC_6554,Virus,Siphoviridae,Siphoviridae
SMGC_6555,Virus,Siphoviridae,Siphoviridae
SMGC_6556,Virus,Siphoviridae,Siphoviridae
SMGC_6557,Virus,Siphoviridae,Siphoviridae
SMGC_6561,Virus,Siphoviridae,Siphoviridae
SMGC_6558,Virus,Myoviridae,Myoviridae
SMGC_6560,Virus,Siphoviridae,Siphoviridae
SMGC_6559,Virus,Siphoviridae,Siphoviridae
SMGC_6564,Virus,Myoviridae,Myoviridae
SMGC_6563,Virus,Myoviridae,Myoviridae
SMGC_6562,Virus,Myoviridae,Myoviridae
SMGC_6565,Virus,Siphoviridae,Siphoviridae
SMGC_6566,Virus,Siphoviridae,Siphoviridae
SMGC_6569,Virus,Siphoviridae,Siphoviridae
SMGC_6567,Virus,Siphoviridae,Siphoviridae
SMGC_6568,Virus,Siphoviridae,Siphoviridae
SMGC_6572,Virus,Siphoviridae,Siphoviridae
SMGC_6571,Virus,Siphoviridae,Siphoviridae
SMGC_6573,Virus,Siphoviridae,Siphoviridae
SMGC_6570,Virus,Siphoviridae,Siphoviridae
SMGC_6574,Virus,Unassigned,Unassigned
SMGC_6576,Virus,Siphoviridae,Siphoviridae
SMGC_6575,Virus,Unassigned,Unassigned
SMGC_6578,Virus,Siphoviridae,Siphoviridae
SMGC_6579,Virus,Siphoviridae,Siphoviridae
SMGC_6580,Virus,Siphoviridae,Siphoviridae
SMGC_6577,Virus,Siphoviridae,Siphoviridae
SMGC_6581,Virus,Siphoviridae,Siphoviridae
SMGC_6587,Virus,Myoviridae,Myoviridae
SMGC_6586,Virus,Siphoviridae,Siphoviridae
SMGC_6582,Virus,Siphoviridae,Siphoviridae
SMGC_6583,Virus,Siphoviridae,Siphoviridae
SMGC_6584,Virus,Siphoviridae,Siphoviridae
SMGC_6588,Virus,Myoviridae,Myoviridae
SMGC_6585,Virus,Siphoviridae,Siphoviridae
SMGC_6589,Virus,Siphoviridae,Siphoviridae
SMGC_6594,Virus,Siphoviridae,Siphoviridae
SMGC_6596,Virus,Siphoviridae,Siphoviridae
SMGC_6597,Virus,Siphoviridae,Siphoviridae
SMGC_6590,Virus,Siphoviridae,Siphoviridae
SMGC_6593,Virus,Siphoviridae,Siphoviridae
SMGC_6592,Virus,Unassigned,Unassigned
SMGC_6598,Virus,Siphoviridae,Siphoviridae
SMGC_6595,Virus,Other,Other
SMGC_6591,Virus,Siphoviridae,Siphoviridae
SMGC_6601,Virus,Siphoviridae,Siphoviridae
SMGC_6600,Virus,Siphoviridae,Siphoviridae
SMGC_6599,Virus,Siphoviridae,Siphoviridae
SMGC_6608,Virus,Myoviridae,Myoviridae
SMGC_6607,Virus,Siphoviridae,Siphoviridae
SMGC_6611,Virus,Other,Other
SMGC_6610,Virus,Unassigned,Unassigned
SMGC_6603,Virus,Siphoviridae,Siphoviridae
SMGC_6602,Virus,Siphoviridae,Siphoviridae
SMGC_6605,Virus,Unassigned,Unassigned
SMGC_6609,Virus,Siphoviridae,Siphoviridae
SMGC_6604,Virus,Siphoviridae,Siphoviridae
SMGC_6606,Virus,Siphoviridae,Siphoviridae
SMGC_6619,Virus,Siphoviridae,Siphoviridae
SMGC_6617,Virus,Siphoviridae,Siphoviridae
SMGC_6615,Virus,Siphoviridae,Siphoviridae
SMGC_6618,Virus,Siphoviridae,Siphoviridae
SMGC_6616,Virus,Siphoviridae,Siphoviridae
SMGC_6613,Virus,Other,Other
SMGC_6614,Virus,Unassigned,Unassigned
SMGC_6612,Virus,Other,Other
SMGC_6620,Virus,Siphoviridae,Siphoviridae
SMGC_6623,Virus,Siphoviridae,Siphoviridae
SMGC_6621,Virus,Siphoviridae,Siphoviridae
SMGC_6622,Virus,Siphoviridae,Siphoviridae
SMGC_6624,Virus,Siphoviridae,Siphoviridae
SMGC_6625,Virus,Other,Other
SMGC_6627,Virus,Siphoviridae,Siphoviridae
SMGC_6626,Virus,Siphoviridae,Siphoviridae
SMGC_6628,Virus,Siphoviridae,Siphoviridae
SMGC_6629,Virus,Myoviridae,Myoviridae
SMGC_6630,Virus,Siphoviridae,Siphoviridae
SMGC_6631,Virus,Other,Other
SMGC_6632,Virus,Other,Other
SMGC_6634,Virus,Siphoviridae,Siphoviridae
SMGC_6633,Virus,Siphoviridae,Siphoviridae
SMGC_6636,Virus,Siphoviridae,Siphoviridae
SMGC_6635,Virus,Siphoviridae,Siphoviridae
SMGC_6638,Virus,Siphoviridae,Siphoviridae
SMGC_6641,Virus,Other,Other
SMGC_6639,Virus,Siphoviridae,Siphoviridae
SMGC_6637,Virus,Siphoviridae,Siphoviridae
SMGC_6640,Virus,Other,Other
SMGC_6657,Virus,Siphoviridae,Siphoviridae
SMGC_6648,Virus,Siphoviridae,Siphoviridae
SMGC_6649,Virus,Siphoviridae,Siphoviridae
SMGC_6645,Virus,Myoviridae,Myoviridae
SMGC_6643,Virus,Siphoviridae,Siphoviridae
SMGC_6658,Virus,Siphoviridae,Siphoviridae
SMGC_6647,Virus,Siphoviridae,Siphoviridae
SMGC_6644,Virus,Siphoviridae,Siphoviridae
SMGC_6652,Virus,Other,Other
SMGC_6642,Virus,Podoviridae,Podoviridae
SMGC_6655,Virus,Siphoviridae,Siphoviridae
SMGC_6650,Virus,Myoviridae,Myoviridae
SMGC_6654,Virus,Unassigned,Unassigned
SMGC_6653,Virus,Siphoviridae,Siphoviridae
SMGC_6646,Virus,Other,Other
SMGC_6656,Virus,Siphoviridae,Siphoviridae
SMGC_6651,Virus,Siphoviridae,Siphoviridae
SMGC_6659,Virus,Siphoviridae,Siphoviridae
SMGC_6667,Virus,Siphoviridae,Siphoviridae
SMGC_6669,Virus,Siphoviridae,Siphoviridae
SMGC_6664,Virus,Siphoviridae,Siphoviridae
SMGC_6670,Virus,Siphoviridae,Siphoviridae
SMGC_6668,Virus,Siphoviridae,Siphoviridae
SMGC_6665,Virus,Siphoviridae,Siphoviridae
SMGC_6666,Virus,Siphoviridae,Siphoviridae
SMGC_6663,Virus,Siphoviridae,Siphoviridae
SMGC_6662,Virus,Siphoviridae,Siphoviridae
SMGC_6660,Virus,Siphoviridae,Siphoviridae
SMGC_6661,Virus,Siphoviridae,Siphoviridae
SMGC_6671,Virus,Myoviridae,Myoviridae
SMGC_6681,Virus,Unassigned,Unassigned
SMGC_6679,Virus,Other,Other
SMGC_6675,Virus,Siphoviridae,Siphoviridae
SMGC_6672,Virus,Siphoviridae,Siphoviridae
SMGC_6676,Virus,Siphoviridae,Siphoviridae
SMGC_6674,Virus,Siphoviridae,Siphoviridae
SMGC_6678,Virus,Siphoviridae,Siphoviridae
SMGC_6677,Virus,Other,Other
SMGC_6680,Virus,Other,Other
SMGC_6673,Virus,Myoviridae,Myoviridae
SMGC_6685,Virus,Siphoviridae,Siphoviridae
SMGC_6684,Virus,Other,Other
SMGC_6682,Virus,Other,Other
SMGC_6686,Virus,Papillomaviridae,Papillomaviridae
SMGC_6683,Virus,Papillomaviridae,Papillomaviridae
SMGC_6687,Virus,Siphoviridae,Siphoviridae
SMGC_6689,Virus,Other,Other
SMGC_6691,Virus,Siphoviridae,Siphoviridae
SMGC_6690,Virus,Unassigned,Unassigned
SMGC_6688,Virus,Papillomaviridae,Papillomaviridae
SMGC_6695,Virus,Siphoviridae,Siphoviridae
SMGC_6693,Virus,Siphoviridae,Siphoviridae
SMGC_6696,Virus,Siphoviridae,Siphoviridae
SMGC_6694,Virus,Siphoviridae,Siphoviridae
SMGC_6692,Virus,Siphoviridae,Siphoviridae
SMGC_6697,Virus,Siphoviridae,Siphoviridae
SMGC_6698,Virus,Siphoviridae,Siphoviridae
SMGC_6699,Virus,Siphoviridae,Siphoviridae
SMGC_6700,Virus,Siphoviridae,Siphoviridae
SMGC_6707,Virus,Siphoviridae,Siphoviridae
SMGC_6701,Virus,Podoviridae,Podoviridae
SMGC_6703,Virus,Siphoviridae,Siphoviridae
SMGC_6705,Virus,Podoviridae,Podoviridae
SMGC_6702,Virus,Siphoviridae,Siphoviridae
SMGC_6704,Virus,Podoviridae,Podoviridae
SMGC_6706,Virus,Podoviridae,Podoviridae
SMGC_6708,Virus,Siphoviridae,Siphoviridae
SMGC_6713,Virus,Siphoviridae,Siphoviridae
SMGC_6714,Virus,Siphoviridae,Siphoviridae
SMGC_6710,Virus,Siphoviridae,Siphoviridae
SMGC_6709,Virus,Other,Other
SMGC_6711,Virus,Siphoviridae,Siphoviridae
SMGC_6712,Virus,Myoviridae,Myoviridae
SMGC_6715,Virus,Podoviridae,Podoviridae
SMGC_6718,Virus,Siphoviridae,Siphoviridae
SMGC_6724,Virus,Other,Other
SMGC_6717,Virus,Siphoviridae,Siphoviridae
SMGC_6720,Virus,Siphoviridae,Siphoviridae
SMGC_6723,Virus,Myoviridae,Myoviridae
SMGC_6716,Virus,Siphoviridae,Siphoviridae
SMGC_6725,Virus,Siphoviridae,Siphoviridae
SMGC_6719,Virus,Siphoviridae,Siphoviridae
SMGC_6721,Virus,Siphoviridae,Siphoviridae
SMGC_6722,Virus,Other,Other
SMGC_6729,Virus,Siphoviridae,Siphoviridae
SMGC_6733,Virus,Siphoviridae,Siphoviridae
SMGC_6728,Virus,Myoviridae,Myoviridae
SMGC_6727,Virus,Siphoviridae,Siphoviridae
SMGC_6726,Virus,Siphoviridae,Siphoviridae
SMGC_6731,Virus,Siphoviridae,Siphoviridae
SMGC_6739,Virus,Siphoviridae,Siphoviridae
SMGC_6741,Virus,Siphoviridae,Siphoviridae
SMGC_6732,Virus,Siphoviridae,Siphoviridae
SMGC_6737,Virus,Siphoviridae,Siphoviridae
SMGC_6735,Virus,Siphoviridae,Siphoviridae
SMGC_6742,Virus,Siphoviridae,Siphoviridae
SMGC_6740,Virus,Other,Other
SMGC_6730,Virus,Siphoviridae,Siphoviridae
SMGC_6736,Virus,Other,Other
SMGC_6738,Virus,Siphoviridae,Siphoviridae
SMGC_6734,Virus,Siphoviridae,Siphoviridae
SMGC_6747,Virus,Siphoviridae,Siphoviridae
SMGC_6744,Virus,Siphoviridae,Siphoviridae
SMGC_6745,Virus,Siphoviridae,Siphoviridae
SMGC_6743,Virus,Siphoviridae,Siphoviridae
SMGC_6746,Virus,Siphoviridae,Siphoviridae
SMGC_6752,Virus,Siphoviridae,Siphoviridae
SMGC_6753,Virus,Siphoviridae,Siphoviridae
SMGC_6750,Virus,Siphoviridae,Siphoviridae
SMGC_6749,Virus,Siphoviridae,Siphoviridae
SMGC_6748,Virus,Siphoviridae,Siphoviridae
SMGC_6751,Virus,Other,Other
SMGC_6761,Virus,Other,Other
SMGC_6758,Virus,Unassigned,Unassigned
SMGC_6760,Virus,Siphoviridae,Siphoviridae
SMGC_6759,Virus,Siphoviridae,Siphoviridae
SMGC_6768,Virus,Siphoviridae,Siphoviridae
SMGC_6763,Virus,Siphoviridae,Siphoviridae
SMGC_6766,Virus,Siphoviridae,Siphoviridae
SMGC_6765,Virus,Siphoviridae,Siphoviridae
SMGC_6769,Virus,Unassigned,Unassigned
SMGC_6767,Virus,Siphoviridae,Siphoviridae
SMGC_6754,Virus,Myoviridae,Myoviridae
SMGC_6764,Virus,Siphoviridae,Siphoviridae
SMGC_6757,Virus,Siphoviridae,Siphoviridae
SMGC_6770,Virus,Siphoviridae,Siphoviridae
SMGC_6756,Virus,Siphoviridae,Siphoviridae
SMGC_6755,Virus,Siphoviridae,Siphoviridae
SMGC_6762,Virus,Myoviridae,Myoviridae
SMGC_6771,Virus,Papillomaviridae,Papillomaviridae
SMGC_6772,Virus,Siphoviridae,Siphoviridae
SMGC_6773,Virus,Siphoviridae,Siphoviridae
SMGC_6779,Virus,Myoviridae,Myoviridae
SMGC_6782,Virus,Siphoviridae,Siphoviridae
