Identifier,Taxa1,Taxa2,Taxa3
SMGC_1511,Virus,Siphoviridae,Siphoviridae
SMGC_1512,Virus,Other,Other
SMGC_1514,Virus,Other,Other
SMGC_1501,Virus,Unassigned,Unassigned
SMGC_1515,Virus,Siphoviridae,Siphoviridae
SMGC_1518,Virus,Siphoviridae,Siphoviridae
SMGC_1526,Virus,Siphoviridae,Siphoviridae
SMGC_1524,Virus,Siphoviridae,Siphoviridae
SMGC_1520,Virus,Siphoviridae,Siphoviridae
SMGC_1519,Virus,Other,Other
SMGC_1528,Virus,Other,Other
SMGC_1527,Virus,Other,Other
SMGC_1525,Virus,Siphoviridae,Siphoviridae
SMGC_1521,Virus,Papillomaviridae,Papillomaviridae
SMGC_1523,Virus,Other,Other
SMGC_1522,Virus,Siphoviridae,Siphoviridae
SMGC_1529,Virus,Siphoviridae,Siphoviridae
SMGC_1530,Virus,Siphoviridae,Siphoviridae
SMGC_1531,Virus,Papillomaviridae,Papillomaviridae
SMGC_1532,Virus,Phycodnaviridae,Phycodnaviridae
SMGC_1538,Virus,Siphoviridae,Siphoviridae
SMGC_1540,Virus,Siphoviridae,Siphoviridae
SMGC_1534,Virus,Siphoviridae,Siphoviridae
SMGC_1536,Virus,Siphoviridae,Siphoviridae
SMGC_1533,Virus,Siphoviridae,Siphoviridae
SMGC_1542,Virus,Siphoviridae,Siphoviridae
SMGC_1537,Virus,Other,Other
SMGC_1541,Virus,Siphoviridae,Siphoviridae
SMGC_1535,Virus,Siphoviridae,Siphoviridae
SMGC_1539,Virus,Siphoviridae,Siphoviridae
SMGC_1548,Virus,Podoviridae,Podoviridae
SMGC_1549,Virus,Siphoviridae,Siphoviridae
SMGC_1555,Virus,Unassigned,Unassigned
SMGC_1543,Virus,Siphoviridae,Siphoviridae
SMGC_1559,Virus,Siphoviridae,Siphoviridae
SMGC_1550,Virus,Siphoviridae,Siphoviridae
SMGC_1545,Virus,Myoviridae,Myoviridae
SMGC_1562,Virus,Siphoviridae,Siphoviridae
SMGC_1563,Virus,Siphoviridae,Siphoviridae
SMGC_1560,Virus,Siphoviridae,Siphoviridae
SMGC_1561,Virus,Siphoviridae,Siphoviridae
SMGC_1566,Virus,Siphoviridae,Siphoviridae
SMGC_1567,Virus,Podoviridae,Podoviridae
SMGC_1564,Virus,Siphoviridae,Siphoviridae
SMGC_1544,Virus,Siphoviridae,Siphoviridae
SMGC_1546,Virus,Siphoviridae,Siphoviridae
SMGC_1558,Virus,Siphoviridae,Siphoviridae
SMGC_1568,Virus,Other,Other
SMGC_1547,Virus,Papillomaviridae,Papillomaviridae
SMGC_1557,Virus,Siphoviridae,Siphoviridae
SMGC_1569,Virus,Siphoviridae,Siphoviridae
SMGC_1570,Virus,Other,Other
SMGC_1565,Virus,Myoviridae,Myoviridae
SMGC_1551,Virus,Siphoviridae,Siphoviridae
SMGC_1552,Virus,Myoviridae,Myoviridae
SMGC_1553,Virus,Myoviridae,Myoviridae
SMGC_1554,Virus,Siphoviridae,Siphoviridae
SMGC_1556,Virus,Siphoviridae,Siphoviridae
SMGC_1571,Virus,Papillomaviridae,Papillomaviridae
SMGC_1572,Virus,Unassigned,Unassigned
SMGC_1576,Virus,Siphoviridae,Siphoviridae
SMGC_1578,Virus,Siphoviridae,Siphoviridae
SMGC_1577,Virus,Myoviridae,Myoviridae
SMGC_1573,Virus,Siphoviridae,Siphoviridae
SMGC_1584,Virus,Siphoviridae,Siphoviridae
SMGC_1582,Virus,Siphoviridae,Siphoviridae
SMGC_1583,Virus,Siphoviridae,Siphoviridae
SMGC_1575,Virus,Other,Other
SMGC_1580,Virus,Siphoviridae,Siphoviridae
SMGC_1581,Virus,Siphoviridae,Siphoviridae
SMGC_1574,Virus,Siphoviridae,Siphoviridae
