feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
KEGG80	ST	153	-0.0638071787604407	0.010933819051849	1101	1101	2.01007151501864e-08	4.87755784127259e-08
KEGG69	ST	153	-0.0638078924248961	0.0109371227780967	1101	1101	2.03192725324563e-08	4.92069130002858e-08
KEGG25	ST	766	-0.0499027403386116	0.0088382540882962	1101	1101	2.12494583295329e-08	5.13564063034403e-08
KEGG40	ST	203	-0.0180179889901941	0.00319940211304831	1101	1101	2.28026396313089e-08	5.49999667907171e-08
KEGG51	ST	59	-0.0473214127660316	0.00846228363976432	1101	1101	2.84590357623288e-08	6.85061818949473e-08
KEGG12	ST	768	-0.0410837732292741	0.00737788861423991	1101	1101	3.24372129363247e-08	7.79268502016088e-08
KEGG3	ST	203	-0.0183603235406127	0.0032976026565982	1101	1101	3.2621529750364e-08	7.8213846677811e-08
KEGG103	ST	35	-0.0431752832189472	0.00755554799016633	1101	1101	3.34686213966584e-08	8.00856297705754e-08
KEGG71	ST	5	-0.0463331508181594	0.00822468072919542	1101	1101	3.5157529933233e-08	8.39603586128298e-08
KEGG31	ST	86	-0.410790917976117	0.0741596060753967	1101	779	3.82739864079804e-08	9.12221889486649e-08
KEGG68	ST	153	-0.0603695531852652	0.0107897136055047	1101	1101	3.84218108259421e-08	9.13938932072706e-08
KEGG3	ST	16	-0.0322465244099964	0.00588064525032382	1101	1101	5.19035557663251e-08	1.23219858768087e-07
KEGG66	ST	487	-0.0737158838770008	0.01240693903466	1101	1101	5.74044897889768e-08	1.36011423743627e-07
KEGG139	ST	73	-0.0353873769582241	0.00646556924862241	1101	1100	6.10349426853673e-08	1.44329687997163e-07
KEGG12	ST	59	-0.0371364820547824	0.00679283571743561	1101	1101	6.11803707037365e-08	1.44390463930932e-07
KEGG45	ST	88	-0.0793871812181095	0.0145752994652466	1101	1101	6.37957959459775e-08	1.50269003732127e-07
KEGG75	ST	203	-0.0189601781825187	0.0034905101210341	1101	1101	6.89926514617705e-08	1.62193250804864e-07
KEGG75	ST	16	-0.0336806433285784	0.00621562716690051	1101	1101	7.40344597941413e-08	1.73707312279639e-07
KEGG45	ST	203	-0.0184299224292743	0.00340266849093232	1101	1101	7.51086048844719e-08	1.75885393185773e-07
KEGG44	ST	88	-0.0814864475311453	0.0150632398799951	1101	1101	7.80743522148881e-08	1.8247610226968e-07
KEGG75	ST	88	-0.0808395368646694	0.0149495375585029	1101	1101	7.89848659693886e-08	1.84247095472113e-07
KEGG71	ST	766	-0.0551375768128385	0.0101999371383624	1101	1101	8.09983456635716e-08	1.88579159981211e-07
KEGG109	ST	73	-0.035289120793737	0.00652629933653225	1101	1100	8.73803057142211e-08	2.03045565879288e-07
KEGG42	ST	290	-0.0454903782137515	0.00847734437308121	1101	1101	9.8400922125749e-08	2.28214446314718e-07
KEGG32	ST	35	-0.0405429962271746	0.00751835961739056	1101	1101	1.14663611266494e-07	2.649124812019e-07
KEGG33	ST	35	-0.0405429962271746	0.00751835961739056	1101	1101	1.14663611266494e-07	2.649124812019e-07
KEGG103	ST	487	-0.0425951321881299	0.00790949372506246	1101	1101	1.22304861927668e-07	2.82026125209881e-07
KEGG80	ST	290	-0.0454059434002829	0.00858861428239306	1101	1101	1.50583967812738e-07	3.46573025156799e-07
KEGG69	ST	290	-0.0454057457471278	0.00859226945380003	1101	1101	1.52416908312113e-07	3.50123412236968e-07
KEGG34	ST	89	0.470938526366084	0.0892015215922695	1101	117	1.56914462723163e-07	3.59769661680864e-07
KEGG134	ST	5	-0.0464224822828635	0.00854643368789768	1101	1099	1.67982064513385e-07	3.84414363952832e-07
KEGG71	ST	218	-0.0563142275557602	0.0102677932079895	1101	1101	1.77303546640002e-07	4.04977419030005e-07
