feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
KEGG7	ST	398	-0.0026400420890796	0.0100208312094055	1346	1346	0.792413454351009	0.912136643479257
KEGG93	ST	7	0.00444355275805135	0.0169251302950582	1346	1345	0.793007686143759	0.912136643479257
KEGG94	ST	7	0.00444355275805135	0.0169251302950582	1346	1345	0.793007686143759	0.912136643479257
KEGG25	ST	45	0.00111293456620737	0.00425751276794379	1346	1346	0.794066393910048	0.912410267044192
KEGG258	ST	45	0.00532629160369216	0.0204356285804288	1346	1344	0.794431291643416	0.912410267044192
KEGG258	ST	8	-0.00475605715294122	0.0183390986405882	1346	1344	0.795420806115963	0.912865488898185
KEGG43	ST	121	-0.00484145039330158	0.0187183204462051	1346	1346	0.796219362099388	0.913101041930669
KEGG75	ST	45	0.00254531250392263	0.0100661561428517	1346	1346	0.800747704022787	0.917610362242047
KEGG57	ST	45	0.00111056192594972	0.00443097812233686	1346	1346	0.802393273049167	0.918811939897819
KEGG39	ST	4603	0.00253961694583645	0.0102015142312073	1346	1346	0.803446352968969	0.91933378231914
KEGG95	ST	109	-0.0105316669986151	0.0428691063961696	1346	1346	0.806205762308626	0.921805845611423
KEGG258	ST	22	-0.0119876791866919	0.049360974548544	1346	1344	0.808365872523245	0.922755992106784
KEGG27	ST	398	-0.00313733211642614	0.012994927042717	1346	1346	0.809435080795425	0.922755992106784
KEGG287	ST	6	-0.00791667889715869	0.0327941919995279	1346	1346	0.809302780318166	0.922755992106784
KEGG54	ST	39	0.00290840347038408	0.0119891851962339	1346	1346	0.808412133598704	0.922755992106784
KEGG69	ST	5	-0.000539731902406237	0.00226359600042123	1346	1346	0.811659424683323	0.924606850175895
KEGG23	ST	398	-0.00241619879948747	0.0102290513024177	1346	1346	0.813411398227479	0.925917264698291
KEGG42	ST	6	-0.00191854627328732	0.00821032150789821	1346	1346	0.81531936856229	0.926718248314154
